Shipment_ID,Carrier_Name,Load_Type,Scheduled_Delivery_Date,Actual_Delivery_Date,Total_Cost,Mileage,Shipping_Location,Del_Region,OTD,CPM
S291,Budget Freight,TL,7/4/2025,7/6/2025,"$2,577.30",781,"Naperville, IL",Midwest,LATE,$3.30
S125,Budget Freight,TL,8/25/2025,8/25/2025,"$4,460.80",1394,"Phoenix, AZ",Northeast,ON TIME,$3.20
S131,Budget Freight,TL,8/22/2025,8/22/2025,"$3,727.50",1491,"Phoenix, AZ",Midwest,ON TIME,$2.50
S137,Budget Freight,TL,9/14/2025,9/14/2025,"$1,640.10",497,"Phoenix, AZ",Northeast,ON TIME,$3.30
S143,Budget Freight,TL,9/2/2025,9/2/2025,"$1,584.00",660,"Phoenix, AZ",Midwest,ON TIME,$2.40
S149,Budget Freight,TL,9/16/2025,9/16/2025,"$4,336.20",1314,"Phoenix, AZ",South,ON TIME,$3.30
S155,Budget Freight,TL,7/17/2025,7/17/2025,"$2,461.20",879,"Phoenix, AZ",South,ON TIME,$2.80
S161,Budget Freight,TL,7/24/2025,7/24/2025,"$3,449.60",1078,"Phoenix, AZ",South,ON TIME,$3.20
S285,Budget Freight,TL,7/15/2025,7/16/2025,"$3,525.20",1259,"Naperville, IL",Northeast,LATE,$2.80
S297,Budget Freight,TL,7/20/2025,7/21/2025,"$2,102.40",876,"Naperville, IL",Southwest,LATE,$2.40
S114,Budget Freight,TL,8/1/2025,8/1/2025,"$3,233.80",1406,"Naperville, IL",Northeast,ON TIME,$2.30
S207,Budget Freight,TL,8/1/2025,8/1/2025,"$2,745.60",832,"Naperville, IL",Midwest,ON TIME,$3.30
S255,Budget Freight,TL,8/2/2025,8/3/2025,"$3,931.20",1404,"Naperville, IL",Midwest,LATE,$2.80
S243,Budget Freight,TL,8/4/2025,8/5/2025,"$2,316.00",965,"Naperville, IL",Midwest,LATE,$2.40
S213,Budget Freight,TL,8/5/2025,8/6/2025,"$2,192.00",1096,"Naperville, IL",South,LATE,$2.00
S225,Budget Freight,TL,8/13/2025,8/15/2025,"$2,880.00",900,"Naperville, IL",South,LATE,$3.20
S201,Budget Freight,LTL,8/14/2025,8/14/2025,"$3,700.40",1276,"Naperville, IL",South,ON TIME,$2.90
S279,Budget Freight,TL,8/15/2025,8/16/2025,"$2,671.20",1113,"Naperville, IL",West,LATE,$2.40
S189,Budget Freight,TL,8/16/2025,8/16/2025,"$3,796.10",1309,"Naperville, IL",South,ON TIME,$2.90
S231,Budget Freight,LTL,8/20/2025,8/22/2025,"$3,135.00",1254,"Naperville, IL",Midwest,LATE,$2.50
S261,Budget Freight,TL,8/22/2025,8/23/2025,"$3,961.60",1238,"Naperville, IL",South,LATE,$3.20
S273,Budget Freight,LTL,8/24/2025,8/25/2025,"$1,458.20",634,"Naperville, IL",West,LATE,$2.30
S219,Budget Freight,TL,8/25/2025,8/26/2025,"$3,328.00",1280,"Naperville, IL",Midwest,LATE,$2.60
S249,Budget Freight,TL,8/26/2025,8/27/2025,"$4,474.80",1356,"Naperville, IL",South,LATE,$3.30
S237,Budget Freight,TL,8/27/2025,8/28/2025,"$4,375.80",1326,"Naperville, IL",South,LATE,$3.30
S107,Budget Freight,TL,8/14/2025,8/14/2025,"$1,141.80",346,"Charleston, SC",Midwest,ON TIME,$3.30
S195,Budget Freight,TL,8/30/2025,8/30/2025,"$2,667.00",889,"Naperville, IL",South,ON TIME,$3.00
S267,Budget Freight,TL,8/30/2025,9/1/2025,"$3,471.30",1197,"Naperville, IL",Midwest,LATE,$2.90
S102,Budget Freight,TL,9/1/2025,9/1/2025,"$2,061.00",687,"Naperville, IL",West,ON TIME,$3.00
S120,Budget Freight,TL,9/8/2025,9/8/2025,"$2,997.00",999,"Naperville, IL",Midwest,ON TIME,$3.00
S172,Budget Freight,TL,9/13/2025,9/13/2025,"$3,917.20",1399,"Naperville, IL",West,ON TIME,$2.80
S184,Budget Freight,TL,9/17/2025,9/17/2025,"$5,100.00",1500,"Naperville, IL",South,ON TIME,$3.40
S178,Budget Freight,TL,9/19/2025,9/19/2025,"$2,300.00",1150,"Naperville, IL",South,ON TIME,$2.00
S298,Budget Freight,TL,9/27/2025,9/28/2025,"$3,891.80",1342,"Naperville, IL",South,LATE,$2.90
S166,Budget Freight,TL,9/26/2025,9/26/2025,"$3,013.20",972,"Charleston, SC",South,ON TIME,$3.10
S342,Budget Freight,TL,9/27/2025,9/28/2025,"$3,891.80",1342,"Naperville, IL",South,LATE,$2.90
S299,Budget Freight,TL,9/28/2025,9/29/2025,"$3,891.80",1342,"Naperville, IL",Midwest,LATE,$2.90
S345,Budget Freight,TL,9/28/2025,9/29/2025,"$3,891.80",1342,"Naperville, IL",Midwest,LATE,$2.90
S147,Diamond Axle Transport,TL,7/14/2025,7/14/2025,"$3,139.50",1365,"Naperville, IL",Midwest,ON TIME,$2.30
S106,Diamond Axle Transport,TL,7/20/2025,7/21/2025,"$3,689.00",1190,"Naperville, IL",South,LATE,$3.10
S141,Diamond Axle Transport,TL,7/31/2025,7/31/2025,"$1,752.00",876,"Naperville, IL",South,ON TIME,$2.00
S103,Diamond Axle Transport,TL,7/3/2025,7/3/2025,"$3,209.80",1459,"Phoenix, AZ",Midwest,ON TIME,$2.20
S117,Diamond Axle Transport,TL,8/21/2025,8/21/2025,"$3,830.90",1321,"Phoenix, AZ",South,ON TIME,$2.90
S224,Diamond Axle Transport,TL,7/16/2025,7/16/2025,"$3,824.70",1159,"Charleston, SC",South,ON TIME,$3.30
S158,Diamond Axle Transport,TL,7/7/2025,7/8/2025,"$1,617.60",674,"Phoenix, AZ",West,LATE,$2.40
S164,Diamond Axle Transport,TL,7/21/2025,7/21/2025,"$2,921.00",1270,"Phoenix, AZ",West,ON TIME,$2.30
S170,Diamond Axle Transport,TL,7/12/2025,7/12/2025,"$2,670.00",890,"Phoenix, AZ",South,ON TIME,$3.00
S176,Diamond Axle Transport,TL,7/23/2025,7/23/2025,"$2,662.20",986,"Phoenix, AZ",West,ON TIME,$2.70
S182,Diamond Axle Transport,TL,7/15/2025,7/15/2025,"$2,295.80",883,"Phoenix, AZ",West,ON TIME,$2.60
S188,Diamond Axle Transport,LTL,7/4/2025,7/4/2025,"$2,902.40",907,"Phoenix, AZ",West,ON TIME,$3.20
S194,Diamond Axle Transport,TL,7/8/2025,7/8/2025,"$1,791.80",578,"Phoenix, AZ",Northeast,ON TIME,$3.10
S200,Diamond Axle Transport,LTL,7/25/2025,7/25/2025,"$1,960.00",784,"Phoenix, AZ",Midwest,ON TIME,$2.50
S206,Diamond Axle Transport,TL,7/30/2025,7/30/2025,"$3,307.70",1067,"Phoenix, AZ",South,ON TIME,$3.10
S212,Diamond Axle Transport,TL,7/26/2025,7/26/2025,"$2,500.20",1389,"Phoenix, AZ",West,ON TIME,$1.80
